title,author,slug
Sonnet XVIII,William Shakespeare,sonnet_xviii
Sonnet LV,William Shakespeare,sonnet_lv
Jabberwocky,Lewis Carrol,jabberwocky
The Raven (excerpt),Edgar Allen Poe,the_raven
O Captain! My Captain!,Walt Whitman,o_captain_my_captain
Stopping By Woods On A Snowy Evening,Robert Frost,stopping_by_woods_on_a_snowy_evening
The Road Not Taken,Robert Frost,the_road_not_taken
Ozymandias,Percy Bysshe Shelly,ozymandias
The Lake Isle of Innisfree,W B Yeats,innisfree
The Emperor of Ice-Cream,Wallace Stevens,the_emperor_of_ice_cream
Preludes,T.S. Eliot,preludes
[I wandered lonely as a Cloud],William Wordsworth,i_wandered_lonely_as_a_cloud
